0018	CROSS_PIN	0052	black	26	bb6	Pd4	-	0	0	-
0018	CROSS_PIN	0060	black	30	bc5	Pd4	-	0	0	-
0027	CROSS_PIN	0015	white	8	Bf4	pe5	-	0	0	-
0037	CROSS_PIN	0071	white	36	Bf6	ne7	-	0	0	-
0055	CROSS_PIN	0079	white	40	Re2	ne6	-	0	0	-
0055	CROSS_PIN	0081	white	41	Bg4	ne6	-	0	0	-
0064	CROSS_PIN	0056	black	28	rf8	Pf2	-	0	0	-
0081	CROSS_PIN	0038	black	19	bb5	Nc4	-	0	0	-
0122	CROSS_PIN	0030	black	15	qg4	Bg2	-	0	0	-
0132	CROSS_PIN	0061	white	31	Qf4	pd6	-	0	0	-
0138	CROSS_PIN	0074	black	37	bb5	Pc4	-	0	0	-
0145	CROSS_PIN	0039	white	20	Bh6	pg7	-	0	0	-
0150	CROSS_PIN	0061	white	31	Bh6	bg7	-	0	0	-
0207	CROSS_PIN	0027	white	14	Qf3	pf7	-	0	0	-
0217	CROSS_PIN	0028	black	14	qa5	Pc3	-	0	0	-
0237	CROSS_PIN	0079	white	40	Qe3	pe6	-	0	0	-
0237	CROSS_PIN	0081	white	41	Qe5	pe6	-	0	0	-
0237	CROSS_PIN	0109	white	55	Qg6	pf7	-	0	0	-
0241	CROSS_PIN	0031	white	16	Qg5	pg7	-	0	0	-
0243	CROSS_PIN	0029	white	15	Re1	pe7	-	0	0	-
0246	CROSS_PIN	0029	white	15	Bd5	pf7	-	0	0	-
0260	CROSS_PIN	0059	white	30	Qf6	pg6	-	0	0	-
0265	CROSS_PIN	0036	black	18	bg3	Pf2	-	0	0	-
0267	CROSS_PIN	0037	white	19	Qc7	pe7	-	0	0	-
0282	CROSS_PIN	0023	white	12	Bb3	pf7	-	0	0	-
0286	CROSS_PIN	0097	white	49	Qd4	pg7	-	0	0	-
0317	CROSS_PIN	0030	black	15	qb4	Nc3	-	0	0	-
0335	CROSS_PIN	0049	white	25	Rf5	nf6	-	0	0	-
0359	CROSS_PIN	0039	white	20	Rd1	pd5	-	0	0	-
0378	CROSS_PIN	0049	white	25	Bf3	pb7	-	0	0	-
0379	CROSS_PIN	0086	black	43	be4	Nf3	-	0	0	-
0379	CROSS_PIN	0090	black	45	rf4	Nf3	-	0	0	-
0386	CROSS_PIN	0063	white	32	Rf6	pe6	-	0	0	-
0392	CROSS_PIN	0034	black	17	bf6	Pd4	-	0	0	-
0392	CROSS_PIN	0070	black	35	qc5	Nd4	-	0	0	-
0408	CROSS_PIN	0054	black	27	bc5	Pf2	-	0	0	-
0433	CROSS_PIN	0044	black	22	qf6	Pd4	-	0	0	-
0433	CROSS_PIN	0114	black	57	qf4	Be4	-	0	0	-
0438	CROSS_PIN	0057	white	29	Bh6	bg7	-	0	0	-
0452	CROSS_PIN	0063	white	32	Qf8	pf7	-	0	0	-
0454	CROSS_PIN	0029	white	15	Qe2	pe7	-	0	0	-
0455	CROSS_PIN	0063	white	32	Qf6	pe5	-	0	0	-
0495	CROSS_PIN	0031	white	16	Qf3	pe4	-	0	0	-
